			
			
			
DESCRIPTION	     PART NUMBER	UnitPrice	Currency
TRANSMITTER-OIL PRESSURE	41SG381-1	3500	USD
TIRE, NLG	217K22-1	1082	USD
SUPPORT, RTR LPT	338-077-502-0	43890	USD
SUPPORT, RTR LPT	338-077-502-0	41366	USD
SUPPORT, RTR LPT	338-077-502-0	72613	USD
DISK, LPT STG 4	336-002-105-0	54488	USD
PANEL, REFUEL DEFUEL (METRIC)	798-114-6	9000	USD
UNIT, HYDROMECHANICAL	8061-536	182500	USD
TRANSMITTER-OIL PRESSURE	41SG381-1	2000	USD
DETECTOR-SMOKE CARGO	 PPA1102-00 	950	USD
VALVE-ANTI ICE	327155-1	3850	USD
PUMP-FUEL CONTROL, MAIN	1015200-6	886875	USD
BEACON ASSY	DK180	4795	USD
#N/A	#N/A	7080	USD
ELBOW-BOWL	14330-196	95	USD
 WATER HEATER	24E507009G03	2200	USD
ELBOW-BOWL	14330-196	350	USD
INSULATION BLANKET SET-AFT	3844861-6	750	USD
INSULATION BLANKET SET-AFT	3844861-6	750	USD
 VALVEVALVEVALVE	AR9031-3D74	16980	USD
#N/A	#N/A	23500	USD
ANTENNA	071-50026-0400	3920	USD
ANTENNA	071-50026-0400	4950	USD
ANTENNA L-BAND	DM1601354-001 	485	USD
ANTENNA L-BAND	DM1601354-001 	328	USD
#N/A	#N/A	3500	USD
VANE-GUIDE	D4918534400400	7950	USD
NLG WHEEL ASSY	90005587 	22870	USD
NLG WHEEL ASSY	90005587 	17000	USD
ANTENNA	071-50026-0400	2000	USD
ANTENNA	071-50026-0400	2000	USD
ANTENNA	071-50026-0400	2000	USD
ANTENNA	071-50026-0400	2000	USD
NLG WHEEL ASSY	90005587 	19200	USD
LAMP	F18T5CWRS or F18T5/CW/RS	6	USD
BULB	387 or GE387, WL387	1.14	USD
BULB	7387or GE7387, WL7387	1	USD
LAMP	Q4559X or Q4559, 4559	22	USD
CARTRIDGE - ENGINE FIREX	897776-01    	2600	USD
CARTRIDGE - ENGINE FIREX	897776-01    	942	USD
BEARING	M224749-20629	5	USD
LAMP	1317LASMI	2	USD
PACKING	MS9967-046	8.01	USD
FILTER MAINTENANCE KIT	65-90305-25	144	USD
TUBE ADJUSTER	2607528-5	115	USD
Strut Service Kit	14-6805-6010	486	USD
ACTUATOR - INBD FLAP	852D100-25    	12550	USD
CARTRIDGE - CARGO FIREX	30903870    	1842	USD
AUDIO CONTROL PANEL	5145-1-64	9500	USD
windshield inspection tool	98D56003001000	46260	USD
windshield inspection tool	98D56003001000	22470	USD
HOSE, RTN HEATER	338-129-251-0	3690	USD
ELEMENT ASSY, FUEL FILTER APU	3882440−1	209	USD
O-RING RESERVOIR FITTING	B14056-914	25	USD
PACKING	J221P042	202	USD
SPRING	A36911	383	USD
BRACE	A37040	100	USD
PISTON	A36910	500	USD
CLAMP	649-411-593-0	350	USD
SPRING	67565	1885	USD
AUDIO CONTROL PANEL	5145-1-64	13000	USD
PLUG-W/W OVHT DET	35303-10	519	USD
UNIT-TANK	20200-0313  	6930	USD
RTU-4000   	622-9852-208	10500	USD
TRANSCEIVER, ALTIMETER RADIO, ALT-1000        	822-1939-005	19500	USD
NOSE WHEEL	90005587	17009	USD
NLG WHEEL ASSY	90005587 	17009	USD
CABIN READY SWITCH	30248-001	10990	USD
AUDIO CONTROL PANEL	5145-1-64	12250	USD
PUMP, FUEL	724400-2	19600	USD
BEARING	1254-1L	5607	USD
BEAM ASSY-SEAT TRACK Y-765 FR64-66	"D5347209001500 	"	3131	USD
OIL FILL ADAPTOR 	03A3LAS2A-DP-A	6094	USD
BATTERY PACK, FLASHLIGHT ASSY	P4-01-0021	45	USD
MLG AXLE PROTECTIVE COVER	14-6868-6000	518	USD
SOCKET – MLG AXLE NUT 	ANS1910A 	221	USD
MLG AXLE PROTECTIVE COVER	14-6868-6000	460	USD
OIL FILL ADAPTOR 	03A3LAS2A-DP-A	4825	USD
BUSHING         	"9513M99P01 	"	251	USD
BUSHING	"9513M99P01 	"	584	USD
ELBOW-BOWL	14330-196	950	USD
#N/A	#N/A	9500	USD
RTU-4000   	622-9852-208	17000	USD
TRANSCEIVER, ALTIMETER RADIO, ALT-1000        	822-1939-005	18500	USD
NGS SWITCH-TERMAL	5849539-2	6150	USD
CARTRIDGE - CARGO FIREX	30903870    	1260	USD
SECU, SPOILER ELECTRONIC CONTROL	49-164-21 or 601R59147-21	36500	USD
WHEEL, MAIN LANDING GEAR	90005586-1	36500	USD
MLG WHEEL	90005586-1	36500	USD
CONTROL ASSY	107494-4	5000	USD
INDICATOR	SEDL0C9C 	1950	USD
WINDOW-SLIDING (RH)	NP175232-2	13900	USD
HOSE ASSY	16135-96	2772	USD
WINDOW-SLIDING (RH)	NP175232-2	6500	USD
RTU-4000   	622-9852-208	60200	USD
CONTROL ASSY	107494-4	6000	USD
CONTROL ASSY	107494-4	3250	USD
RTU-4000   	622-9852-208	17400	USD
VALVE-ANTI ICE	327155-1	29500	USD
RETAINER	740-2001-505	820	USD
GENERIC I/O MODULE	"7025365-1904 	"	30000	USD
GENERIC I/O MODULE	"7025365-1904 	"	20000	USD
BATTERY PACK, FLASHLIGHT ASSY	P4-01-0021	36	USD
Connector	CA181-01	4807	USD
Connector	CA182-00 	5224	USD
NET	453A1810-6    	1148	USD
HARNESS MW0326	CA244-02	12993	USD
LENS	9EL408833-01	42	USD
MASK-ASSY OXYGEN	28301-02	168	USD
CARTRIDGE-FIRE EXTINGUISHER APU	30903827	810	USD
SLEVE	7700525	158	USD
ACTUATOR	ASNA2151-02	18	USD
"CARTRIIDGE-
FILTER WATER"	770006	122.75	USD
"FILTER
ELEMENT"	7588429	59.81	USD
FLEECE 	P15-350S	596.75	USD
FLEECE 	P15-350S	435.83	USD
"FILTER
ELEMENT"	7588429	66.05	USD
"CARTRIIDGE-
FILTER WATER"	770006	95.6	USD
BATTERY PACK EMERG.LIGHT	3214-31    	863	USD
ACTUATOR ASSY, MAIN ENTRANCE DOOR	60P5210902Z002	43818	USD
 ACTUATOR ASSY	60P5210902Z002 	43818	USD
BRACKET ASSY	98-01-07905	480	USD
Socket chromel 	320-211-201-0	1450	USD
Socket alumel	320-211-101-0	1450	USD
SWITCH - TAXI LIGHT SWITH	A3-1080 	2822	USD
SWITCH - TGL TAXI LIGHTS	A3-1080	2822	USD
TUBE ASSY	65C26841-1239	3407	USD
SHAFT - FLEX	315A1804-1	2537	USD
PLUG	284A6809-28	194	USD
WINDOW #2 RH	141A4810-39	22500	USD
WINDSHIELD	5-89355-88	23750	USD
LIGHT-DOME	35-53    	3750	USD
SENSOR	0123FA2	1500	USD
WINDOW #2 RH	141A4810-39	19900	USD
ANTENNA L-BAND	DM1601354-001 	450	USD
FIRE EXTINGUISHER BOTTLE	BA21741SR-5	1850	USD
BEAM ASSY-SEAT TRACK Y-765 FR64-66	"D5347209001500 	"	3950	USD
MLG AXLE PROTECTIVE COVER	14-6868-6000	400	USD
BEAM-LONGITUDINAL Y-1162 FR68-FR69	"D5347218920800 	"	3150	USD
CONTROL, MAIN FUEL	4147T70P02	79500	USD
BEARING	1254-1	4327	USD
BEAM-LONGITUDINAL Y-1162 FR68-FR69	"D5347218920800 	"	2040	USD
COTTER PIN	180300-1B1-0	64	USD
SHAFT, HORIZONTAL ARTICULATION	F0482695	1135	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	29500	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	11500	USD
VALVE-CONTROL, PARKING BRAKE ELECTR	D24001000	52000	USD
#N/A	#N/A	2000	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	26500	USD
COTTER PIN	180300-1B1-0	155	USD
VALVE-CONTROL, PARKING BRAKE ELECTR	D24001000	71500	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	16500	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	29500	USD
SPOOL ASSY-CPRSR ROTOR STAGES 4 TH 9	2048M20G03	115000	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	20500	USD
TROLLEY BUILD	460006212	4250	USD
SPOOL ASSY-CPRSR ROTOR STAGES 1 & 2	1558M31G04	40000	USD
SPOOL ASSY-CPRSR ROTOR STAGES 1 & 2	1558M31G04	55000	USD
SPOOL ASSY-CPRSR ROTOR STAGES 1 & 2	1558M31G04	17000	USD
SHAFT, HORIZONTAL ARTICULATION	F0482695	1250	USD
DOOR CATCH ASSY 	F7XC25412G060A1	2300	USD
CAP PROTECTIVE	00-200-296 	160	USD
 ELECTRONIC CONTROL UNIT (ECU)	2042M67P02	129000	USD
SENSOR	0123FA2	4550	USD
WINDSHIELD	5-89355-88	10500	USD
 ELECTRONIC CONTROL UNIT (ECU)	2042M67P02	165000	USD
 ELECTRONIC CONTROL UNIT (ECU)	2042M67P02	181000	USD
WINDOW #2 RH	141A4810-39	22500	USD
OVEN	8201-11-0000	4000	USD
windshield inspection tool	98D56003001000	37900	USD
AUDIO CONTROL PANEL	5145-1-64	13000	USD
ANTENNA-ADF	C12351AA	4500	USD
RING, SEALING,	QA17020	479	USD
SHADE ASSEMBLY	ATG14S043	2588	USD
Блок клапанов, MANIFOLD ASSY, STEERING	8600-5	73000	USD
OVEN	8201-11-0000	3650	USD
PIN, COTTER	MS24665-153	2	USD
Packing	M83248-1-034	1	USD
OVEN	8201-11-0000	3500	USD
THERMOSTAT, TEMPERATURE CONTROL	GG436-1006-7	6300	USD
FIRE EXTINGUISHER BOTTLE	BA21741SR-5	1825	USD
FIRE EXTINGUISHER BOTTLE	BA21741SR-5	1188	USD
WINDSHIELD	5-89355-88	15000	USD
BEARING 4 RLR	305-355-720-0	54000	USD
ANTENNA ADF 	615-2630-102	10500	USD
CONTROL-FLEXIBLE FWD	72CF8945-00	2800	USD
SWITCH	572757-1 	2600	USD
BUSHING, BEARING BORE	2609876	4405	USD
PACKING	BACP11K6	1	USD
LIGTH  	D72D70360-111	1040	USD
EXTINGUISHER	BA51015-5	385	USD
BEZEL, DOOR GRILLE	1L500405-69	3828	USD
HARNESS-J5	325-034-902-0	5500	USD
BEACON, UNDERWATER LOCATOR, ACOUSTIC	DK120/90	2950	USD
#N/A	#N/A	2000	USD
BEACON, UNDERWATER LOCATOR, ACOUSTIC	DK120/90	3400	USD
BEACON, UNDERWATER LOCATOR, ACOUSTIC	DK120/90	2250	USD
BEACON, UNDERWATER LOCATOR, ACOUSTIC	DK120/90	2750	USD
BEACON, UNDERWATER LOCATOR, ACOUSTIC	DK120/90	2750	USD
BEACON, UNDERWATER LOCATOR, ACOUSTIC	DK120/90	2000	USD
BEACON, UNDERWATER LOCATOR, ACOUSTIC	DK120/90	2452	USD
SELECTOR PANEL	824392-2-002	34500	USD
PANEL	G7400-12       	4750	USD
PANEL	G7400-12       	3650	USD
Seal - Excluder	352-24601-330G	73	USD
SEAL	353-34300-330G	61	USD
RING	353-44100-312G	99	USD
FILTER	487108	575	USD
RING ASSY - AGT	348MT160P8    	47	USD
AGT	7445MT160	91	USD
RING AY	295-34300-965-5010	226	USD
RING - ACGTL DYNAMIC	265-44101-161-6050	849	USD
SEAL - RING	265-34301-161-6050	481	USD
INSERT	162A1526-1      	3020	USD
FILTER	AC7681E2	264	USD
GASKET	65C33095-5 	419	USD
SEAL	69-77135-1  	58	USD
SEAL	69-77135-1  	70	USD
PACKING	69490B236	115	USD
HEATER	4E3206-13	5528	USD
GASKET	65C33161-5	451	USD
HARNESS-J5	325-034-902-0	5950	USD
PANEL	G7400-12       	5000	USD
HARNESS-J6	325-035-003-0 	6950	USD
EXTINGUISHER	BA51015-5	3565	USD
LOW STAGE BLEED CHECK VALVE	1001447-6	15615	USD
SELECTOR PANEL	824392-2-002	33500	USD
PANEL	G7400-12       	6000	USD
HARNESS	"CA243-01 	"	10277	USD
LIGHT AY	65-0294-23	7192	USD
 SPARE STATIC SEAL	7348MT160    	136	USD
ACTUATOR	1226400	16712	USD
 CONE & SEAL	13600LA9I2A3	99	USD
LEAD IGNITION	3105901-1	2221	USD
IGNITER PLUG	3105893-6	1763	USD
VALVE-SURGE CONTROL, APU	"3291238-2 	"	21100	USD
HARNESS-J6	325-035-003-0 	10000	USD
FILTER KIT	654T0035-3	118.1	USD
FILTER	CA01962B 	102	USD
FILTER - FUEL INLET	2685336 	248	USD
PACKING, PREFORMED, O-RING	MS9068-128 	5	USD
VALVE-SURGE CONTROL, APU	"3291238-2 	"	16500	USD
SELECTOR PANEL	824392-2-002	34500	USD
BEACON, UNDERWATER LOCATOR, ACOUSTIC	DK120/90	2200	USD
VALVE-CONTROL, PARKING BRAKE ELECTR	D24001000	44000	USD
RELAY	Y-D4N	708	USD
EXTINGUISHER	BA51015-5	1800	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	22500	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	30000	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	30000	USD
#N/A	#N/A	6500	USD
RELAY	Y-D4N	404	USD
ELECTRICAL ASSEMBLY SOLENOID	63000933-1	17870	USD
RELAY	Y-D4N	588	USD
SPOOL ASSY-CPRSR ROTOR STAGES 1 & 2	1558M31G04	79860	USD
CLAMP, LOOP, CUSHIONED 	MS21919WDF8	16	USD
#N/A	#N/A	12950	USD
BEAM ASSY-SEAT TRACK Y-765 FR64-66	"D5347209001500 	"	3969	USD
BEAM-LONGITUDINAL Y-1162 FR68-FR69	"D5347218920800 	"	2265	USD
TROLLEY BUILD	460006212	2856	USD
D5463061900000	D5463061900000	500	USD
VALVE-CONTROL, PARKING BRAKE ELECTR	D24001000	48000	USD
SEAL, METALLIC	S4165	152	USD
HARNESS-J5	325-034-902-0	4900	USD
LEAD IGNITION	3105901-1	1807	USD
PLUG	10-630390-3	1280	USD
Cotter Pin	MS24665-302 	0.18	USD
FILTER	CA01962B 	102	USD
